category,name,description
Gift Ideas,Fabled,"Stories created by you, powered by AI. With a single sentence fabled.ai crafts personal illustrated stories, enriched by stunning images."
Gift Ideas,Gift Genie,"Gift Genie AI is an AI-powered that allows you to find the perfect gift in seconds with AI for free. Jot down a brief description of your recipient, and get a list of gifts our AI genie believes will delight them."
Gift Ideas,GiftBot,Struggling to figure out what to get someone for the holidays? GiftBot asks you questions to help recommend gift ideas!.
Gift Ideas,GiftWizard,"GiftWizard is your friendly helper from the future, here to guide you through getting the most magical gift."
Gift Ideas,Giftastic AI,Personalised gift ideas for every occasion!.
Gift Ideas,Lovelines,"Create custom keepsakes for a loved one using AI that are optimized for social media. AI-generated poems, stories, letters, and song lyrics."
Gift Ideas,Text2present,"Allows you to create creative customized presents using artificial intelligence for your friends, family and acquaintances without taking your precious time. Simply enter a text description of what you want to gift and let our artificial intelligence do the rest."
Healthcare,Getactyv,Getactyv - AI and Computer Vision Assisted Health and Fitness Platform.
Healthcare,Replika,Always here to listen and talk. Always on your side. Join the millions growing with their AI friends now!.
Healthcare,Ubie AI Symptom Checker,"Check Symptoms & Find Causes by AI - Answer quiz about your symptoms to find out possible causes, types, severity, and treatment for free by AI. Developed by doctors."
Human Resources & Resume,Cover Letter AI App,Cover Letter AI.
Human Resources & Resume,Hire Hoc,Transform Your Organization with the Power of AI-Assisted Recruiting.
Human Resources & Resume,HireYaY,"92% of job seekers do not finish their online application. With HireYaY, you will never miss a qualified candidate again."
Human Resources & Resume,Hirex.ai,"Welcome to hirex.ai, a no-code AI platform to build voice-based bots that conduct and score interviews at scale. Get the complete suite of assessments tools like coding interviews, MCQ tests, hackathons, video interviews, and WhatsApp chatbots all under single dashboard."
Human Resources & Resume,JD Generator,HireQuotients Skill Assessment Platform helps you hire the top 10% of the talent pool in half the time.
Human Resources & Resume,LazyApply,"We automatically apply to all the jobs on platforms like Linkedin, Indeed and Ziprecruiter."
Human Resources & Resume,Resume Worded,"Designed by top recruiters, our AI-powered platform instantly gives you tailored feedback on your resume and LinkedIn profile. Land 5x more interviews, opportunities and job offers."
Human Resources & Resume,rankode,"Recruiters, everything you need to know about a candidate's programming skills is in their GitHub. Evaluate them automatically with Rankode to avoid expensive hiring mistakes and superboost your retention."
Human Resources & Resume,resumator,Get hired faster with our AI-powered personalized cover letter. It takes just a few seconds!.
Human Resources & Resume,springworks,"Springworks builds human resources software solutions to solve challenges in recruitment, background verification & employee engagement with Blockchain and AI."
Legal,DoNotPay,Use AI to make legal information accessible to everyone.
Legal,Equally.ai,Achieve ADA & WCAG compliance easily.
Legal,Paralegal AI,AI Powered Legal Research and Summaries.
Legal,PatentPal,Automate mechanical writing in your patent applications.
Legal,Spellbook,"Spellbook uses GPT-3 to review and suggest language for your contracts, right in Microsoft Word."
Logo Generator,Logo Rank,Brandmark Logo Maker - The Most Advanced AI Logo Design Tool.
Logo Generator,Looka,Make a logo and build a brand you love with Looka.
Logo Generator,Make Logo AI,"Generate beautiful and unique logos for your startup, powered by Artifical Intelligence."
Logo Generator,Text To Book Cover,"AI image generation for teams - You can easily generate AI logo, AI book covers, AI posters and more - Stockimg AI."
Music & Audio Generation,Adobe Podcast,An audio tool for people with stories to tell.
Music & Audio Generation,Assemblyai,"Automatically convert audio and video files and live audio streams to text with AssemblyAI's Speech-to-Text APIs. Do more with Audio Intelligence - summarization, content moderation, topic detection."
Music & Audio Generation,Cleanvoice AI,"Cleanvoice is an artificial intelligence which removes filler sounds, stuttering and mouth sounds from your podcast or audio recording."
Music & Audio Generation,Clip audio,The audio search engine.
Music & Audio Generation,Coqui,"Direct emotive, generative AI voices for video games, post-production, dubbing and much more…."
Music & Audio Generation,Emergent Drums,"Use our breakthrough plugin to generate endless drum samples, all royalty-free."
Music & Audio Generation,GetSound,"Relaxing soundscapes for saunas, showers, and massage areas. Pools, Beaches, Gardens, or Rooftops will get the perfect soundscape. Make your Lobby, Hallways, or Elevators unique again. Get more done with a natural soundscape for better focus and harmony."
Music & Audio Generation,Krisp,"Krisps AI removes background voices, noises and echo from all your calls, giving you peace of mind."
Music & Audio Generation,LALAL.AI Voice Cleaner,High-quality stem splitting based on the world's #1 AI-powered technology.
Music & Audio Generation,Musico,"Musico is an AI-driven software engine that generates music. It can react to gesture, movement, code or other sound."
Music & Audio Generation,Quasi Music,Unleash your inner musician with Quasi's AI-powered music creation tool. Create never-before-heard sounds and remix classic artists with ease.
Music & Audio Generation,Replica,Try today with 30 minutes of free voice credit.
Music & Audio Generation,Riffusion,Stable diffusion for real-time music generation.
Music & Audio Generation,Soundraw,"Royalty-free music, AI generated for you."
Music & Audio Generation,TuneFlow,"Helps you generate melody, beats, or even a whole song while still being able to edit them like any other professional DAW."
Organization & Automation,BuildAI,"Enter the description of an app that outputs text based on user text input, and we will BUILD IT FOR YOU!."
Organization & Automation,Hexowatch,"Hexowatch is your AI sidekick to monitor any website for visual, content, source code, technology, availability, or price changes."
Organization & Automation,KUBIYA,"Provide developers secure, self-serve access to operational workflows, cloud resources and organizational knowledge with conversational AI."
Organization & Automation,Kive,all your inspiration in one place.
Organization & Automation,Magical,"Call on Magical AI to do all the work stuff you hate doing. Create messages from scratch, update forms instantly, and automate annoying tasks—anywhere, anytime."
Organization & Automation,Nekton.ai,Automate the routine processes for yourself and your team without needing to code or maintain infrastructure.
Organization & Automation,Product Launch AI,Blast off to a great launch without worrying about launch copy!.
Organization & Automation,bardeen,"Coming in 2023 – Bardeen is introducing breakthrough AI to automate manual workflows, save you time, and empower your creativity."
Organization & Automation,mem,"Mem is the world's first AI-powered workspace that's personalized to you. Amplify your creativity, automate the mundane, and stay organized automatically."
Organization & Automation,timeMaster,"TimeMaster automatically detects what you are working on, categorizes your activities, tags projects, and even writes time logs on your behalf."
Photo & Image Editing,AI Image Enlarger,AI Image Enlarger - Enlarge Image Without Losing Quality!.
Photo & Image Editing,AVC AI,"Online AI Image Enhancer That Improves Photo Quality by Upscaling, Denoising, Restoring, Face Refinement, and More."
Photo & Image Editing,Blend,Everything you need to create stunning visuals for your products - in seconds! Teleport your products to professional-grade AI-generated backgrounds. Get 1000s of customizable templates with an intuitive editor.
Photo & Image Editing,Blend Studio,Create beautiful high-quality photos for your products with AI-generated background scenes based on your description.
Photo & Image Editing,Claid.ai,"AI software to enlarge images with no quality loss, correct colors, increase resolution, retouch product photos and edit UGC automatically."
Photo & Image Editing,Colorize,Colorize Photo Online.
Photo & Image Editing,ExtendImage,ExtendImageAI is a tool that allows you to extend your images with generative AI.
Photo & Image Editing,Hama,Amazing photo eraser.
Photo & Image Editing,Imgupscaler,Upscale and enhance your image by using the latest AI technology.
Photo & Image Editing,Magic Eraser,"Magic Studio helps you automatically edit and create images, using AI."
Photo & Image Editing,Palette,"A new AI colorizer. Colorize anything from old black and white photos, style your artworks, or give modern images a fresh look. It's as simple as instagram."
Photo & Image Editing,PhotoFix,Photofix - Magically Edit Photos With AI.
Photo & Image Editing,Photorestoration,Old Photo Restoration Online - Photorestoration.Ai.
Photo & Image Editing,Photospells,Photo Spells - Professional Photo Edition With AI.
Photo & Image Editing,Prisma,Prisma Captures the Essence of Your Photos Transforming Them Into Vivid Color Paintings.
Photo & Image Editing,Prisma Lensa,Lensa Is an All-in-One Image Editing App That Takes Your Photos to the Next Level.
Photo & Image Editing,Remover.app,"Removeanythingunwanted in Seconds, for Free."
Photo & Image Editing,RestorePhotos.io,Have old and blurry face photos? Let our AI restore them so those memories can live on. 100% free – restore your photos today.
Photo & Image Editing,SceneryAI,Generate or update existing images with our AI image editing tool.
Photo & Image Editing,Stillgram,Stillgram is an A.I. point & shoot camera app that magically removes background crowds from your urban/travel photos.
Photo & Image Editing,Topaz Photo AI,"Photo and video enhancement software powered by deep learning gets you the best image quality available for noise reduction, sharpening, upscaling, and more."
Photo & Image Editing,Unfake,"Dont you hate it when you find that perfect, supposedly background-less Image, and download it, but when you go to use it, the dreaded checkerboard appears?."
Photo & Image Editing,jpgRM,"Using 2022 cutting edged AI model to remove any unwanted objects from your images, automatically fill the background."
Photo & Image Editing,jpghd,"Using 2022 cutting-edge AI models for lossless restoration of old photos (supports old, scratched photo restoration, colorization, and Magic Photo)."
Photo & Image Editing,paintbytext,"paintbytext - Edit your photos using written instructions, with the help of an AI."
Plugins & Extensions,AIduh,Chrome extension that cuts your writing time by 98% with AI-powered responses. Built by Hosts for Hosts.
Plugins & Extensions,Autoname,"Rename Figma frames in one click, that's pretty much it."
Plugins & Extensions,Merlin,Free Open AIs ChatGPT powered extension to use anywhere!.
Plugins & Extensions,SplashAI,"Splashai Is a Figma Plugin, Search Engine and AI Image Generator."
Plugins & Extensions,Voilà,"Improve your writing, get answers to all your questions, draft high-quality content and respond to emails. All in one place."
Research Assistant,Elicit,"Elicit uses machine learning to help you with your research: find papers, extract key claims, summarize, brainstorm ideas, and more."
Research Assistant,Scispace,"Your platform to explore and explain papers. Search for 270M+ papers, understand them in simple language, and find connected papers, authors, topics."
Reviews & Recommendations,AI Review Reply Assistant,AI review reply generator: Reply 3x faster to every customer review with individual responses written by your personal AI assistant. No templates are needed.
Reviews & Recommendations,Artreviewgenerator,A natural language processing tool and text generator. It takes a set of words as a prompt and then generates a medium length set of sentences that approximate the training data.
Reviews & Recommendations,Geniusreview,Save tons of hours by using GeniusReview to get tailored answers to your performance review questions.
Reviews & Recommendations,Reviewz,Discover All the Top Things Recommended by Ai.
Reviews & Recommendations,Sona,"We spend countless hours scouring the internet for the best book recommendations from people you admire. Our database is constantly growing, and every single recommendation has been verified for authenticity and includes a link to the source. Enjoy!."
Sales & Marketing,Altera AI,"Get more leads and close more deals with Altera, the AI sales assistant that generates hyper personalised comments, inmails and posts on LinkedIn."
Sales & Marketing,Briefly,Marketing briefs that get to the best creative work. Improve your marketing effectiveness and reduce the cost of badly written briefs.
Sales & Marketing,CastPush,"Connect and broadcast to all your social media channels with just a few clicks using CastPush. Our magical AI technology optimizes your content for each individual connection, ensuring maximum reach and engagement."
Sales & Marketing,Clickable,"Beautiful, brand-consistent, and highly converting ads for all marketing channels. No design experience needed."
Sales & Marketing,Copy.ai,Say goodbye to the blank page for good.
Sales & Marketing,Cuetap.com,AI-powered platform provides automagical Battlecards and actionable Competitive Intelligence.
Sales & Marketing,GetResponse,"Powerful, simplified tool to send emails, create pages, and automate your marketing."
Sales & Marketing,Hoppy Copy,"Save countless hours writing. Use AI to generate powerful copy for hundreds of different email marketing campaigns, drips, newsletters and more—in seconds ⚡."
Sales & Marketing,MarketingBlocks AI,"Human-like all-in-one AI marketing assistant that creates landing pages, promo videos, ads, marketing copy, graphics, emails, voiceovers, blog posts, art & more."
Sales & Marketing,Octie.ai,"Write emails, product descriptions, and more, with A.I. Created by Octane AI."
Sales & Marketing,SaleWhale,"We provide impossibly good Sales Rep and Customer Support Chatbots, using the world's best available AI models. Learn how it will improve your business."
Sales & Marketing,SimplePhones.ai,"Forward your missed calls, or get a new number, and Simple Phones will answer it using AI. You'll get a phone agent created for your business for free. You just pay 19¢/min for any incoming calls."
Sales & Marketing,Speaq.ai,Our mission is to revolutionize B2B marketing and customer support with artificial intelligence. Effortlessly schedule meetings and verify attendance with AI. Streamline your survey process with AI conversational calls.
Sales & Marketing,Userevaluation,"Whether you're focused on UI, UX Research, Design, or CX User Evaluation's AI can answer all your questions."
Sales & Marketing,unbounce,"Turn more of your visitors into customers. Unbounce is the AI-powered landing page builder with smart features that let you create beautiful, high-performing marketing campaigns in just a few minutes."
Search Engines,Anypod,We make your content searchable.
Search Engines,Lexii.ai,Lexii.ai is an AI search assistant that answers questions and cites sources.
Search Engines,OpenArt Photo Booth,"Search 10M+ prompts, and generate AI Art via Stable Diffusion, DALL·E 2."
Search Engines,Perplexity AI,Ask is powered by large language models and search engines. Accuracy is limited by search results and AI capabilities.
Search Engines,Smarty Names,"Finding a creative and unique domain that is still available is easy with SmartyNames.com - Tell us what you do, and our robots will find the domain that is just right for you. Company name generator in one click."
Search Engines,You,The AI Search Engine You Control.
Slides & Presentations,ChatBA,Instantly create slide decks using ChatBCG.
Slides & Presentations,Glimmer AI,Glimmer AI uses GPT-3 and DALL-E 2 to make creating professional-quality presentations easy and fast using text or voice commands.
Slides & Presentations,STORYD,Helps professionals quickly and easily create data-driven business presentations.
Slides & Presentations,SlidesAI,"Say goodbye to tedious, manual slides creation. Let the AI write the outline and presentation content for you. With our tool, you can easily create professional, engaging slides from any text in no time."
Slides & Presentations,Tome,Unlock your best work with Tome's AI-powered storytelling format.
Social Networks & Dating,AI movie Club,AI-MOVIE CLUB is a social network that create movies with artificial intelligence!.
Social Networks & Dating,Elektrif,The first suite of AI-powered tools to supercharge your dating life ⚡️.
Social Networks & Dating,Graham AI,Graham.Ai - Tech Tweet Generator.
Social Networks & Dating,LoveGenius,"LoveGenius is an AI dating assistant that helps attract better matches by crafting an outstanding dating profile. It uses a combination of machine learning algorithms, data from successful dating profiles, and human insights based on interviews with dating coaches and experts."
Social Networks & Dating,Postwise,"Write, schedule and grow with the world's smartest AI Twitter tool."
Social Networks & Dating,ReContent.AI,"Transform Your Newsletter, Blog Post, Into Twitter Content With Recontent.Ai."
Social Networks & Dating,Roast,"ROAST helps people 10x their matches on dating apps like Tinder, Bumble, and Hinge. Powered by AI, it provides offers data-driven dating insights and expert advice to increase the quantity and quality of their matches."
Social Networks & Dating,TinderProfile.ai,"TinderProfile.ai uses AI to analyze users' selfies & photos and generate high-quality images to enhance dating profiles, boosting chances of getting more matches."
Social Networks & Dating,Tribescaler,Tribescaler.
Social Networks & Dating,TweePT3,"Tweept3 - Twitter-Integrated, Gpt3 Powered Tweet Writer."
Social Networks & Dating,TweetAI,Tweet AI.
Social Networks & Dating,TweetEmote,Tweetemote.
Social Networks & Dating,Tweethunter,"Get sales, growth and new networks. Faster than what you're currently trying."
Social Networks & Dating,Tweetspear,Revolutionize Your Twitter Engagement with  AI-Powered Suggested Replies .
Speech,Adobe Speech Enhancer,Speech enhancement makes voice recordings sound as if they were recorded in a professional studio.
Speech,Lingostar,"Lingostar is the AI who language learners can speak to in English, Spanish, or French. Reach fluency with REAL spoken conversations for free. No more tutors - chat with the Lingostar A.I. to improve your pronunciation, vocabulary, and comprehension."
Speech,SmallTalk2.me,"With SmallTalk, learners can self-assess their English proficiency level, prepare for a job interview in English or the IELTS exam, and engage in speaking exercises that prepare them for conversations in the workplace, academic settings, or everyday life."
Text,Bookclub,Bookclub.Ai - Meet Your Next Book.
Text,Childbook,"Your book will be personalized with characters, pictures and story. The story and illustrations also have a text-to-speech feature and can be listened to."
Text,Cover Letter AI,The ultimate tool for crafting the perfect cover letter.
Text,Coverletterwrite,Ask AI to write a personalized cover letter.
Text,Deploy Prompt,"Test your prompt ideas then record, share, and iterate on responses. Deploy with No Code, to your App, as an API, or as a ChatGPT Plugin, and more. It's the fastest way to get your prompt-driven application live in production."
Text,Diffusion.chat,Diffusion Chat.
Text,Digital Dogs,"Cross-app, AI Digital Dogs NFTs for Virtual worlds, VR, AR, social apps, games and more."
Text,Excelformulabot,Transform your text instructions into Excel & Google Sheets formulas in seconds with the help of AI.
Text,Explainpaper,Explainpaper.
Text,Filechat,Filechat is the perfect tool to explore documents using artificial intelligence. Simply upload your PDF and start asking questions to your personalized chatbot.
Text,Formula Dog,"Transform your text instructions into Excel formulas, VBA, Regex etc. in seconds with the help of AI."
Text,Formulagod,Talk to sheets with built-in artificial intelligence.
Text,GPT Hotline,Connect with the world's smartest AI on WhatsApp.
Text,Gandhiji,AI Powered Chat Apps for Everyone.
Text,GoalsGPT,The easiest way to keep track of your OKRs and team goals. Align your team around outcomes without feeling like a chore.
Text,Goatchat,"Did you ever want to ask Napoleon or Einstein a few questions? Well, now you have a chance."
Text,Hello History,With the help of modern AI & machine learning we have brought historical figures back to life. Now is your chance to ask the questions you have always wanted to ask.
Text,Infiniteconversation,"An AI generated, never-ending discussion between Werner Herzog and Slavoj Žižek."
Text,Jot,Jot automagically generates infinite ad copy variations for you using AI. Streamline your team's copywriting processes with artificial intelligence. Powered by OpenAI GPT-3.
Text,Justlearn,"AI Friend, Chat & Call app designed to teach you anything. Voice. Diary. Music. Workout."
Text,Kidotail,A New Way to Ignite Your Child's Imagination. Endless Storytelling Possibilities.
Text,Langame card game,Create your personalized deck of cards and play with your friends. Select which cards should be part of your own deck by swiping 💅.
Text,Myess,"Supercharge your writing with instant, highly detailed feedback from our AI tutor. Real, actionable feedback - not just another Grammarly."
Text,Namelix,Business Name Generator - Free AI-Powered Naming Tool - Namelix.
Text,Namewizard,namewizard is the generator that uses AI to find the perfect business and domain name for your next project.
Text,Neural Formula,Formula Generator - Neural Formula.
Text,Oracle,"Get instant answers to all your burning questions with Oracle. Simply ask on Slack and let our AI generate an answer for you. Connect Oracle to Slack, Google Docs, and Confluence with just one click and maximize your productivity."
Text,Philosophy,Ask a Philosopher.
Text,Politepost,"Make sure your emails are professional and suitable for the workplace. Write your draft with all your slang and expletives, and our AI bot will rewrite and clean up the text."
Text,Promptmakr,The Platform for Prompt Engineers to Generate and Share Unlimited AI Art Prompts for Free.
Text,Proposalgenie,Write the Perfect Upwork proposal in seconds.
Text,Rephrasee.com,"This tool utilizes Artificial Intelligence to help you with rephrasing, translating, and proofreading. Get the highest quality help with your written content, quickly and accurately with AI-powered technology."
Text,ReplAI,Replai - Reply Quickly With AI.
Text,Scarlettpanda,Scarlett Panda - use our magic to generate customized bedtime stories featuring your friends and family.
Text,Scholarcy,Scholarcy™ is an online summarizing tool that generates and converts long articles into summary flashcards. Sign up free & start summarizing.
Text,Sheet AI,SheetAI is a Google Sheets add-on that helps you unlock the power of AI in your spreadsheets.
Text,SheetGod,Form Approval Workflow Software - Google Forms Add On.
Text,Spellbox,SpellBox uses artificial intelligence to create the code you need from simple prompts. Solve your toughest programming problems with AI in seconds!.
Text,Splitjoin,AI assistant to help you write commit messages faster.
Text,Startup Pitch Generator,Create forms for all purposes in seconds.Without knowing how to code.
Text,Storywizard,Storywizard uses AI to help you generate astonishing stories for children with vivid images and beautiful plots.
Text,Sudowrite,"Write your novel or screenplay faster with best AI writing tool according to The New Yorker, NY Times, The Verge, and many more."
Text,Texti,Texti.App.
Text,Upword,Capture key ideas from content with Upwords AI. Create online summary docs. Grow your knowledge.
Text,Writemeacoverletter,"Generate a cover letter in seconds using AI. Just upload your CV, share a link to the job you want, and we'll do the rest."
Text,Your Cover Letter,Apply for your dream jobs using our AI Cover Letter builder. Add your Resume and the Job Description to generate a Cover Letter in seconds.
Text,coverletter.app,Stand out from the competition and increase your chances of getting hired with personalized cover letters from our advanced AI technology.
Text To Speech,Article.Audio,"too lazy to read an article? no problem, listen to it! Powered by Thundercontent."
Text To Speech,Createaivoiceovers,"Text to Speech Online Voice Generator, Text to Speech Generator - Realistic Voices - Create AI Voice Overs."
Text To Speech,Eleven,"The most realistic and versatile AI speech software, ever. Eleven brings the most compelling, rich and lifelike voices to creators and publishers seeking the ultimate tools for storytelling."
Text To Speech,FakeYou,Fakeyou. Deep Fake Text to Speech.
Text To Speech,Free Text-To-Speech,Free Text to Speech Online Converter Tools.
Text To Speech,Listnr 2.0,Generate realistic Text to Speech (TTS) audio using our AI Voice Generator with the best synthetic voices. Instantly convert text in to natural-sounding speech and download in MP3 and WAV formats.
Text To Speech,Lovo,Lovo AI - Free Text to Speech Online With Natural Voices.
Text To Speech,Murf.ai,"AI enabled, real people's voices. Make studio-quality voice overs in minutes. Use Murfs lifelike AI voices for podcasts, videos, and all your professional presentations."
Text To Speech,NaturalReader,AI Voices - Naturalreader Home.
Text To Speech,Play.ht,Generate realistic Text to Speech (TTS) audio using our online AI Voice Generator and the best synthetic voices. Instantly convert text in to natural-sounding speech and download as MP3 and WAV audio files.
Text To Speech,Speech-to-Speech,Resembles AI voice generator lets you create human–like voice overs in seconds.
Text To Speech,Speechelo,We GUARANTEE no one will tell your voiceover is A.I. generated with a text to voice tool.
Text To Speech,Speechify,"Power through docs, articles, PDFs, email — anything you read — by listening with our leading text-to-speech reader."
Text To Speech,Underduck,"Uberduck - Text-to-Speech, Voice Automation, Synthetic Media."
Text To Speech,VERBATIK,Generate Realistic Text to Speech (TTS) audio using online AI Voice Generator and best synthetic voices. Instantly convert text in to natural-sounding speech and download as MP3 and WAV audio files.
Text To Speech,Voicemaker,Voicemaker® - Text to Speech Converter.
Text To Speech,Voicera,Voicera - Give Voice to Your Articles and Blogs.
Text To Speech,Wellsaid,"With WellSaid, you and your team can create a compelling realistic AI voice over for all your digital content."
Translation & Transcript,Ava,Professional & AI-Based Captions for Deaf & Hoh - Ava.
Translation & Transcript,Deciphr AI,"Powered by deep AI, Deciphr timestamps and summarizes your entire podcast transcript for you. In less time than it takes to make coffee."
Translation & Transcript,DeepL,Deepl Translate: The World'S Most Accurate Translator.
Translation & Transcript,Graphic AI,Stork helps teams improve communications and productivity. It is a Business Messenger for Hybrid & Remote Teams that Records and Transcribes All Meetings and Calls automatically. Made for asynchronous post pandemic world and assisted by artificial intelligence.
Translation & Transcript,Papercup,Papercup - AI Dubbing and Video Translation Software.
Translation & Transcript,Rephrasely,"Rephrasely uses state-of-the-art AI to produce variations of your text in more than 100+ languages for each of the eighteen (12 free and 6 premium) styles that we offer. By doing this, we are able to offer more value and variety than any other service."
Translation & Transcript,Rythmex,"Transcribe audio to text easily, quickly, and effectively."
Translation & Transcript,Scribebuddy,"Automatically Transcribe Any Audio, Video, Zoom Call, Google Meet, Podcast, Live Speech & More in Minutes."
Translation & Transcript,Supertranslate,"Powered by OpenAI's Whisper, the world's most accurate speech-to-text engine!."
Translation & Transcript,Taption,"Automatically Generate Transcript, Translation and Subtitles - Taption."
Translation & Transcript,TranslateVideo,Translate.Video.
Translation & Transcript,Voicetapp,Get accurate transcriptions for your AUDIO & VIDEO with the latest speech rocognition technology.
Vacation & Trip Planner,Orkoi,"Our AI will build you a customized plan for any city or location you'd like to visit, complete with restaurants, fun activities, attractions and tips to make the best adventure."
Vacation & Trip Planner,Roamr,Roamr - Your Dream Vacation in Seconds.
Vacation & Trip Planner,Vacay,"This AI-Assistant can design a custom trip, give you inspiration on where to go, and even generate local recommendations for hotels, restaurants, and attractions."
Video,AI Host,"LiveReacting helps you get more followers and engagement by adding pre-recorded videos, games, countdowns, and polls to your stream."
Video,Augie,"Upload text, narration, or clips, and Augie will analyze the content and create a video instantly to match your words!."
Video,BRIA,Create Images and Video at Scale - Bria.
Video,Boolpic,Generate on-brand videos 10X faster with AI to boost marketing performance.
Video,D-ID's Creative Reality Studio,"Produce customized videos featuring talking avatars at a touch of a button, giving businesses and creators superpowers."
Video,Deepfakesweb,Our easy to use deepfake app uses AI and Deep Learning to generate amazing face swap videos. Make your own deepfake video today.
Video,Eightify,"⚡️ Get instant AI-powered summaries for YouTube videos, save time, translate in 28 languages."
Video,Elai,"Build customized AI videos with a presenter in minutes without using a camera, studio and a greenscreen."
Video,FilmForge,"Instantly generate engaging videos. Captions, voiceover, transcript, and graphics included."
Video,Fliki,Create videos from scripts or blog posts using realistic voices in 2 minutes!.
Video,Gling,Our AI will cut silences and bad takes for you so you can focus on your YouTube videos.
Video,Move,Capture high quality motion data from video in any environment using mobile phones.
Video,Pictory,"Automatically create short, highly-sharable branded videos from your long form content."
Video,Simplified,"Design, Write, Edit videos, and Publish Content. Built For Teams."
Video,Story Bard,Video Stories Generated by AI.
Video,Summarize Tech,"Get a summary of any long YouTube video, like a lecture, live event or a government meeting. Powered by GPT-3."
Video,Supercreator AI,Supercreator.Ai - Create Videos 10X Faster With AI.
Video,ToWords,Make your videos and audio come alive with written words.
Video,Typestudio,"Type Studio is a fast, simple, and joyful way to edit and growyour podcasts, streams, and interviews."
Video,Vidyo,Create social ready short clips from your videos with AI ✨ Save 90% time and effort.
Video,Waymark,"When TV, CTV, and digital ads are this effortless, the possibilities are limitless. High-impact ads are now open to everyone, with Waymark."
Video,Wzrd.ai,WZRD augments your audio with immersive video powered by artificial intelligence.
Web Design,Designs AI,"Create anything online in 2 minutes! Make a logo, video, social media banner, business card, flyer, mockup and more with AI."
Web Design,Durable,Durable: AI Website Builder and Service Business Software.
Web Design,Genius by Diagram,Genius - Your AI Design Companion.
Web Design,Magician,A magical design tool for Figma powered by AI.
Web Design,Piggy,Creating stunning content on your phone just got easy.
Web Design,Stunning.so,Build stunning websites in 30 seconds including copy & even images powered by AI.
Web Design,Uizard,"Uizard - App, Web, & Ui Design Made Easy - Powered by AI."
Writing Assistant,AI Lyrics Generator,"Generate your own song lyrics for any topic, also choose lyrics genre and lyrics mood."
Writing Assistant,AI-Writer,"AI-Writer is the most accurate content generation platform, using state-of-the-art AI writing models to generate articles from just a headline."
Writing Assistant,AIKIt,Aikit - Your Wordpress AI Assistant Using GPT-3.
Writing Assistant,Bearly Ai,Save Hundreds of Hours Reading and Writing With the World'S Best AI.
Writing Assistant,BlogNLP,"An AI-based blog writing tool that can help you craft captivating content quickly and easily, eliminating writer's block and saving you time."
Writing Assistant,Eilla,Eilla AI - AI Content Generation Assistant.
Writing Assistant,Elephas,"Save hours every day. The world's first AI writer that works across your Mac, iPhone, and iPad."
Writing Assistant,EssayBar,Essaybar — Revolutionize Your Writing With AI-Crafted Essays!.
Writing Assistant,FreewriteAI,The AI Writing Tool for Everyone.
Writing Assistant,Paragraph AI,Paragraphai • Best AI Writing App • Free AI Writing Assistant Tool.
Writing Assistant,Paraphraser,Free Paraphrasing for All Languages.
Writing Assistant,Paraphraser AI,Yaara — AI-Powered Writing Assistant.
Writing Assistant,Rizz!,"The world's most powerful text AI, built into your keyboard."
Writing Assistant,Rytr,"Rytr - Best AI Writer, Content Generator & Writing Assistant."
Writing Assistant,SmartScribe,SmartScribe helps solve the complexities of writing through the use of Artificial Intelligence.
Writing Assistant,Thundercontent,Thundercontent uses artificial intelligence to help you write unique articles on any topic at the speed of light. Scale your content strategy. Overcome writer's block.
Writing Assistant,Typly,Typly is the ultimate cutting edge AI keyboard that helps you to answer all your messages with a single click!🚀.
Writing Assistant,WebCopilot,Write your Notion pages with AI. Speed up your writing process and focus on what matters. Free Forever.
Writing Assistant,Whiskey AI,"Whiskey has been designed for students, journalists and professionals to be able to express their thoughts into well-written text formats with minimal effort and time."
Writing Assistant,Wordtune,Wordtune - Your Personal Writing Assistant & Editor.
Writing Assistant,Writefull Academizer,Writefull X: AI Applied to Academic Writing.
Other,1Case,Find your 1 of a kind case in seconds.
Other,AI Car Diagnosis,Get real-time diagnostics and insights into your cars performance with our cutting-edge tool.
Other,AI Content Generator,Yep.So - From Idea to Signups in 15 Minutes.
Other,AI Data Sidekick,Airops - Data Unlocked. 10X Faster With Ai.
Other,AI Image Upscaler,Upscale your image to 2x or 4x without losing any textures or details with our AI tool. Use our super-resolution tool and bring new life to your images.
Other,AI Paraphrasing Tool,Contentbot - AI Writer - AI Content for Founders and Content Marketers.
Other,AI Pickup Lines Generator,AI Pickup Lines.
Other,AI Prompt Generator,Fiction.
Other,AI Query,"Use simple English and let AI do the heavy lifting for you. With AI Query anyone can create efficient SQL queries, without even knowing a thing about it."
Other,AI Recipe Generator,AI Recipe Generator.
Other,AI Rental Cover Letter,"Connect with Sharehouses, Housemates Or Flatmates. Freely List & Advertise Your Room, House, or Flat."
Other,AI Resume Editor,"Rezi - The Leading AI Resume Builder Trusted by 352,894 Users."
Other,AI SQL BOT,AI SQL Query Builder: Easiest Way to Build SQL Queries Without Prior SQL Knowledge - SQL Query Builder Using AI.
Other,AI Social Bio,AI Social Bio.
Other,AI Social Media Post Writerby Socialblu,"SocialBu is the perfect solution to improve your social media presence and maximize your results. Publish, Respond, Analyze, and Automate - all from within SocialBu."
Other,AI Sports Prediction,AI Sports Betting Predictions - Sports Prediction AI.
Other,AI Writer by Picsart,"Creating transparent backgrounds for your images, trimming videos, and converting file types - do it all with Quicktools."
